Region, Date, Frequency, Value
India, 01-05-2016, D,9
India, 02-05-2016, D,9.73
India, 03-05-2016, D,9.58
India, 04-05-2016, D,9.43
India, 05-05-2016, D,9.54
India, 06-05-2016, D,9.52
India, 07-05-2016, D,9.62
India, 08-05-2016, D,9.62
India, 09-05-2016, D,9.62
India, 10-05-2016, D,9.56
India, 11-05-2016, D,9.66
India, 12-05-2016, D,9.62
India, 13-05-2016, D,9.57
India, 14-05-2016, D,9.53
India, 15-05-2016, D,9.48
India, 16-05-2016, D,9.4
India, 17-05-2016, D,9.25
India, 18-05-2016, D,9.22
India, 19-05-2016, D,9.18
India, 20-05-2016, D,9.18
India, 21-05-2016, D,9.16
India, 22-05-2016, D,9.08
India, 23-05-2016, D,9.18
India, 24-05-2016, D,9.11
India, 25-05-2016, D,9.19
India, 26-05-2016, D,9.45
India, 27-05-2016, D,9.43
India, 28-05-2016, D,9.38
India, 29-05-2016, D,9.4
India, 30-05-2016, D,9.64
India, 31-05-2016, D,9.56
India, 01-06-2016, D,9.48
India, 02-06-2016, D,9.4
India, 03-06-2016, D,9.43
India, 04-06-2016, D,9.31
India, 05-06-2016, D,9.21
India, 06-06-2016, D,9.02
India, 07-06-2016, D,8.97
India, 08-06-2016, D,8.93
India, 09-06-2016, D,8.97
India, 10-06-2016, D,8.95
India, 11-06-2016, D,8.86
India, 12-06-2016, D,8.88
India, 13-06-2016, D,8.84
India, 14-06-2016, D,9.05
India, 15-06-2016, D,9.14
India, 16-06-2016, D,9.23
India, 17-06-2016, D,9.23
India, 18-06-2016, D,9.12
India, 19-06-2016, D,9.19
India, 20-06-2016, D,9.12
India, 21-06-2016, D,9.16
India, 22-06-2016, D,9.04
India, 23-06-2016, D,9.01
India, 24-06-2016, D,8.97
India, 25-06-2016, D,8.81
India, 26-06-2016, D,8.78
India, 27-06-2016, D,8.77
India, 28-06-2016, D,8.78
India, 29-06-2016, D,8.75
India, 30-06-2016, D,9.14
India, 01-07-2016, D,9.05
India, 02-07-2016, D,9.09
India, 03-07-2016, D,8.97
India, 04-07-2016, D,8.94
India, 05-07-2016, D,8.86
India, 06-07-2016, D,8.87
India, 07-07-2016, D,8.79
India, 08-07-2016, D,8.8
India, 09-07-2016, D,8.76
India, 10-07-2016, D,8.63
India, 11-07-2016, D,8.57
India, 12-07-2016, D,8.48
India, 13-07-2016, D,8.45
India, 14-07-2016, D,8.21
India, 15-07-2016, D,8.14
India, 16-07-2016, D,7.98
India, 17-07-2016, D,7.99
India, 18-07-2016, D,7.99
India, 19-07-2016, D,7.98
India, 20-07-2016, D,8.02
India, 21-07-2016, D,8.04
India, 22-07-2016, D,8.21
India, 23-07-2016, D,8.31
India, 24-07-2016, D,8.24
India, 25-07-2016, D,8.31
India, 26-07-2016, D,8.21
India, 27-07-2016, D,8.32
India, 28-07-2016, D,8.35
India, 29-07-2016, D,8.25
India, 30-07-2016, D,8.14
India, 31-07-2016, D,8.11
India, 01-08-2016, D,8.09
India, 02-08-2016, D,8.1
India, 03-08-2016, D,8.19
India, 04-08-2016, D,8.26
India, 05-08-2016, D,8.33
India, 06-08-2016, D,8.53
India, 07-08-2016, D,8.47
India, 08-08-2016, D,8.5
India, 09-08-2016, D,8.49
India, 10-08-2016, D,8.62
India, 11-08-2016, D,8.62
India, 12-08-2016, D,8.74
India, 13-08-2016, D,8.95
India, 14-08-2016, D,8.97
India, 16-08-2016, D,9.12
India, 17-08-2016, D,9.11
India, 18-08-2016, D,9.16
India, 19-08-2016, D,9.24
India, 20-08-2016, D,9.2
India, 21-08-2016, D,9.24
India, 22-08-2016, D,9.37
India, 23-08-2016, D,9.49
India, 24-08-2016, D,9.41
India, 25-08-2016, D,9.76
India, 26-08-2016, D,9.6
India, 27-08-2016, D,9.69
India, 28-08-2016, D,9.99
India, 29-08-2016, D,10.04
India, 30-08-2016, D,9.57
India, 31-08-2016, D,9.66
India, 01-09-2016, D,9.65
India, 02-09-2016, D,10.06
India, 03-09-2016, D,9.87
India, 04-09-2016, D,9.93
India, 05-09-2016, D,9.79
India, 06-09-2016, D,9.81
India, 07-09-2016, D,9.84
India, 08-09-2016, D,9.88
India, 09-09-2016, D,9.79
India, 10-09-2016, D,9.9
India, 11-09-2016, D,9.8
India, 12-09-2016, D,9.56
India, 13-09-2016, D,9.56
India, 14-09-2016, D,9.5
India, 15-09-2016, D,9.54
India, 16-09-2016, D,9.63
India, 17-09-2016, D,9.54
India, 18-09-2016, D,9.29
India, 19-09-2016, D,9.36
India, 20-09-2016, D,9.33
India, 21-09-2016, D,9.16
India, 22-09-2016, D,8.87
India, 23-09-2016, D,8.78
India, 24-09-2016, D,8.83
India, 25-09-2016, D,8.99
India, 26-09-2016, D,8.82
India, 27-09-2016, D,8.73
India, 28-09-2016, D,8.62
India, 29-09-2016, D,8.57
India, 30-09-2016, D,8.3
India, 01-10-2016, D,8.33
India, 02-10-2016, D,8.34
India, 03-10-2016, D,8.26
India, 04-10-2016, D,8.22
India, 05-10-2016, D,8.23
India, 06-10-2016, D,8.31
India, 07-10-2016, D,8.35
India, 08-10-2016, D,8.24
India, 09-10-2016, D,8.31
India, 10-10-2016, D,8.21
India, 11-10-2016, D,8.05
India, 12-10-2016, D,8.14
India, 13-10-2016, D,8.11
India, 14-10-2016, D,8.12
India, 15-10-2016, D,8.13
India, 16-10-2016, D,7.86
India, 17-10-2016, D,7.8
India, 18-10-2016, D,7.71
India, 19-10-2016, D,7.48
India, 20-10-2016, D,7.39
India, 21-10-2016, D,7.28
India, 22-10-2016, D,7.29
India, 23-10-2016, D,7.14
India, 24-10-2016, D,7.04
India, 25-10-2016, D,7.26
India, 26-10-2016, D,7.02
India, 27-10-2016, D,6.73
India, 28-10-2016, D,6.69
India, 29-10-2016, D,6.51
India, 31-10-2016, D,6.39
India, 01-11-2016, D,6.31
India, 02-11-2016, D,6.5
India, 03-11-2016, D,6.39
India, 04-11-2016, D,6.25
India, 05-11-2016, D,6.18
India, 06-11-2016, D,6.16
India, 07-11-2016, D,6.12
India, 08-11-2016, D,5.99
India, 09-11-2016, D,6.02
India, 10-11-2016, D,6.01
India, 11-11-2016, D,5.95
India, 12-11-2016, D,6.02
India, 13-11-2016, D,6
India, 14-11-2016, D,5.86
India, 15-11-2016, D,5.9
India, 16-11-2016, D,5.92
India, 17-11-2016, D,5.97
India, 18-11-2016, D,6.06
India, 19-11-2016, D,6.1
India, 20-11-2016, D,6.14
India, 21-11-2016, D,6.04
India, 22-11-2016, D,5.99
India, 23-11-2016, D,5.91
India, 24-11-2016, D,5.92
India, 25-11-2016, D,5.97
India, 26-11-2016, D,6.59
India, 27-11-2016, D,6.59
India, 28-11-2016, D,6.64
India, 29-11-2016, D,6.66
India, 30-11-2016, D,6.69
India, 01-12-2016, D,6.71
India, 02-12-2016, D,6.85
India, 03-12-2016, D,6.22
India, 04-12-2016, D,6.29
India, 05-12-2016, D,6.34
India, 06-12-2016, D,6.35
India, 07-12-2016, D,6.44
India, 08-12-2016, D,6.45
India, 09-12-2016, D,6.4
India, 10-12-2016, D,6.52
India, 11-12-2016, D,6.48
India, 12-12-2016, D,6.38
India, 13-12-2016, D,6.41
India, 14-12-2016, D,5.89
India, 15-12-2016, D,6.23
India, 16-12-2016, D,6.34
India, 17-12-2016, D,6.27
India, 18-12-2016, D,6.11
India, 19-12-2016, D,6.1
India, 20-12-2016, D,5.97
India, 21-12-2016, D,6.03
India, 22-12-2016, D,6.08
India, 23-12-2016, D,6.2
India, 24-12-2016, D,6.2
India, 25-12-2016, D,6.21
India, 26-12-2016, D,6.29
India, 27-12-2016, D,6.36
India, 28-12-2016, D,6.33
India, 29-12-2016, D,6.2
India, 30-12-2016, D,6.18
India, 31-12-2016, D,6.19
India, 01-01-2017, D,6.16
India, 02-01-2017, D,6.09
India, 03-01-2017, D,6.16
India, 04-01-2017, D,6.09
India, 05-01-2017, D,6.05
India, 06-01-2017, D,6.06
India, 07-01-2017, D,6.02
India, 08-01-2017, D,6.05
India, 09-01-2017, D,5.97
India, 10-01-2017, D,6.07
India, 11-01-2017, D,6.09
India, 12-01-2017, D,6.12
India, 13-01-2017, D,6.07
India, 14-01-2017, D,5.92
India, 15-01-2017, D,5.82
India, 16-01-2017, D,5.78
India, 17-01-2017, D,5.84
India, 18-01-2017, D,5.82
India, 19-01-2017, D,5.74
India, 20-01-2017, D,5.67
India, 21-01-2017, D,5.66
India, 22-01-2017, D,5.49
India, 23-01-2017, D,5.48
India, 24-01-2017, D,5.5
India, 25-01-2017, D,5.55
India, 26-01-2017, D,5.59
India, 27-01-2017, D,5.65
India, 28-01-2017, D,5.66
India, 29-01-2017, D,5.62
India, 30-01-2017, D,5.51
India, 31-01-2017, D,6.21
India, 01-02-2017, D,6.27
India, 02-02-2017, D,6.18
India, 03-02-2017, D,6.16
India, 04-02-2017, D,6.29
India, 05-02-2017, D,6.24
India, 06-02-2017, D,6.27
India, 07-02-2017, D,6.22
India, 08-02-2017, D,6.25
India, 09-02-2017, D,6.11
India, 10-02-2017, D,6.04
India, 11-02-2017, D,6.06
India, 12-02-2017, D,6.09
India, 13-02-2017, D,6.06
India, 14-02-2017, D,6
India, 15-02-2017, D,5.91
India, 16-02-2017, D,5.82
India, 17-02-2017, D,5.7
India, 18-02-2017, D,5.68
India, 19-02-2017, D,5.63
India, 20-02-2017, D,5.5
India, 21-02-2017, D,5.5
India, 22-02-2017, D,5.49
India, 23-02-2017, D,5.43
India, 24-02-2017, D,5.31
India, 25-02-2017, D,5.34
India, 26-02-2017, D,5.16
India, 27-02-2017, D,5.14
India, 28-02-2017, D,5.14
India, 01-03-2017, D,5.06
India, 02-03-2017, D,4.89
India, 03-03-2017, D,4.76
India, 04-03-2017, D,4.57
India, 05-03-2017, D,4.5
India, 06-03-2017, D,4.38
India, 07-03-2017, D,4.38
India, 08-03-2017, D,4.33
India, 09-03-2017, D,4.29
India, 10-03-2017, D,4.43
India, 11-03-2017, D,4.41
India, 12-03-2017, D,4.45
India, 13-03-2017, D,4.36
India, 14-03-2017, D,4.36
India, 15-03-2017, D,4.29
India, 16-03-2017, D,4.31
India, 17-03-2017, D,4.27
India, 18-03-2017, D,4.29
India, 19-03-2017, D,4.38
India, 20-03-2017, D,4.47
India, 21-03-2017, D,4.51
India, 22-03-2017, D,4.56
India, 23-03-2017, D,4.51
India, 24-03-2017, D,4.58
India, 25-03-2017, D,4.73
India, 26-03-2017, D,4.73
India, 27-03-2017, D,4.95
India, 28-03-2017, D,5.02
India, 29-03-2017, D,5.37
India, 30-03-2017, D,5.31
India, 31-03-2017, D,5.27
India, 01-04-2017, D,5.18
India, 02-04-2017, D,4.09
India, 03-04-2017, D,4.05
India, 04-04-2017, D,4.02
India, 05-04-2017, D,3.99
India, 06-04-2017, D,3.97
India, 07-04-2017, D,4.02
India, 08-04-2017, D,4.02
India, 09-04-2017, D,3.95
India, 10-04-2017, D,4.08
India, 11-04-2017, D,4.08
India, 12-04-2017, D,4.1
India, 13-04-2017, D,4.1
India, 14-04-2017, D,4.1
India, 15-04-2017, D,4.09
India, 16-04-2017, D,4.14
India, 17-04-2017, D,4.12
India, 18-04-2017, D,4.12
India, 19-04-2017, D,4.06
India, 20-04-2017, D,4.03
India, 21-04-2017, D,4.03
India, 22-04-2017, D,3.95
India, 23-04-2017, D,3.86
India, 24-04-2017, D,3.9
India, 25-04-2017, D,3.94
India, 26-04-2017, D,3.91
India, 27-04-2017, D,3.86
India, 28-04-2017, D,3.66
India, 29-04-2017, D,3.71
India, 30-04-2017, D,3.79
India, 01-05-2017, D,3.91
India, 02-05-2017, D,3.94
India, 03-05-2017, D,4
India, 04-05-2017, D,4
India, 05-05-2017, D,4.09
India, 06-05-2017, D,4
India, 07-05-2017, D,3.94
India, 08-05-2017, D,3.94
India, 09-05-2017, D,4.05
India, 10-05-2017, D,3.9
India, 11-05-2017, D,3.85
India, 12-05-2017, D,3.76
India, 13-05-2017, D,3.66
India, 14-05-2017, D,3.68
India, 15-05-2017, D,3.68
India, 16-05-2017, D,3.68
India, 17-05-2017, D,3.68
India, 18-05-2017, D,3.67
India, 19-05-2017, D,3.64
India, 20-05-2017, D,3.59
India, 21-05-2017, D,3.7
India, 22-05-2017, D,3.69
India, 23-05-2017, D,3.81
India, 24-05-2017, D,3.93
India, 25-05-2017, D,3.92
India, 26-05-2017, D,3.99
India, 27-05-2017, D,3.94
India, 28-05-2017, D,3.96
India, 29-05-2017, D,4.01
India, 30-05-2017, D,3.94
India, 31-05-2017, D,3.91
India, 01-06-2017, D,3.9
India, 02-06-2017, D,3.88
India, 03-06-2017, D,3.82
India, 04-06-2017, D,3.8
India, 05-06-2017, D,3.82
India, 06-06-2017, D,3.77
India, 07-06-2017, D,3.77
